reporting_lag,amount,mule_hops,dist_km,past_cases,crime_type,target_cashout
12,85000.0,2,1.35,5,UPI Fraud,1
130,8000.0,2,0.6,13,UPI Fraud,0
29,50000.0,1,2.52,6,Card Fraud,0
84,150000.0,3,0.5,15,Investment Scam,1
6,15000.0,1,0.43,7,UPI Fraud,1
23,48000.0,3,0.66,11,UPI Fraud,1
27,20000.0,1,0.51,6,Card Fraud,0
17,500000.0,3,0.23,7,Job Scam,1
26,85000.0,1,3.1,6,UPI Fraud,0
16,20000.0,2,0.84,14,Phishing,1
27,20000.0,1,1.71,10,Phishing,0
18,120000.0,3,1.03,13,Job Scam,1
228,45000.0,2,3.12,11,Phishing,0
15,150000.0,2,2.75,14,Phishing,1
14,25000.0,1,0.16,3,UPI Fraud,1
17,20000.0,2,0.8,7,Phishing,1
4,120000.0,1,0.29,13,UPI Fraud,1
35,600000.0,3,0.46,5,Investment Scam,1
108,250000.0,3,1.04,12,Job Scam,0
18,25000.0,3,2.53,9,UPI Fraud,0
29,85000.0,3,0.23,13,UPI Fraud,1
62,48000.0,2,1.83,7,UPI Fraud,0
41,120000.0,2,0.51,6,UPI Fraud,0
28,600000.0,4,1.09,10,Investment Scam,1
20,45000.0,1,2.45,11,Phishing,0
17,48000.0,2,0.87,9,UPI Fraud,1
54,100000.0,1,0.76,7,Card Fraud,0
47,25000.0,3,0.4,12,UPI Fraud,1
29,48000.0,2,0.46,11,UPI Fraud,0
50,150000.0,2,0.2,9,Phishing,1
20,8000.0,3,0.25,10,UPI Fraud,1
52,50000.0,2,1.09,14,Job Scam,0
10,85000.0,2,1.3,7,UPI Fraud,1
20,150000.0,3,1.41,4,Phishing,1
39,20000.0,2,0.82,12,Card Fraud,0
81,150000.0,1,0.9,10,Phishing,0
15,120000.0,2,0.68,10,UPI Fraud,1
5,120000.0,2,0.86,10,UPI Fraud,1
93,1200000.0,4,1.13,5,Investment Scam,0
15,20000.0,3,0.61,5,Phishing,1
57,50000.0,3,0.5,8,Job Scam,1
32,85000.0,2,2.58,13,UPI Fraud,0
23,20000.0,2,0.66,8,Phishing,0
51,150000.0,2,2.13,6,Phishing,0
14,85000.0,2,1.1,7,UPI Fraud,1
17,20000.0,1,0.18,10,Card Fraud,1
4,85000.0,3,0.48,7,UPI Fraud,1
39,25000.0,2,0.26,11,UPI Fraud,1
36,50000.0,3,1.05,3,Job Scam,0
55,75000.0,2,0.79,11,Phishing,0
13,75000.0,3,0.92,8,Phishing,1
11,85000.0,2,0.85,9,UPI Fraud,1
35,20000.0,1,0.46,6,Phishing,0
59,500000.0,3,0.64,11,Job Scam,1
4,10000.0,2,0.15,7,Card Fraud,1
36,2000000.0,2,0.51,7,Investment Scam,1
14,15000.0,3,1.12,12,UPI Fraud,1
50,120000.0,2,0.33,5,UPI Fraud,1
50,120000.0,4,0.32,10,Job Scam,1
7,48000.0,1,1.95,6,UPI Fraud,1
24,25000.0,2,1.15,8,UPI Fraud,0
38,1200000.0,4,1.35,10,Investment Scam,1
14,100000.0,1,4.13,10,Card Fraud,1
5,48000.0,2,0.52,9,UPI Fraud,1
49,300000.0,4,3.88,10,Investment Scam,0
57,50000.0,2,1.03,6,Job Scam,0
5,8000.0,3,1.76,7,UPI Fraud,1
51,150000.0,2,0.25,8,Phishing,1
74,120000.0,3,0.62,8,UPI Fraud,0
24,8000.0,2,0.83,13,UPI Fraud,0
57,1200000.0,2,0.61,9,Investment Scam,0
15,85000.0,2,1.0,8,UPI Fraud,1
32,8000.0,2,0.41,13,UPI Fraud,1
105,1200000.0,3,0.34,11,Investment Scam,1
21,20000.0,1,0.77,8,Phishing,0
8,75000.0,2,0.25,8,Phishing,1
4,50000.0,1,2.09,12,Card Fraud,1
124,75000.0,1,0.18,12,Phishing,1
5,15000.0,3,1.97,2,UPI Fraud,1
15,48000.0,2,3.92,4,UPI Fraud,0
24,120000.0,4,0.52,8,Job Scam,1
33,25000.0,3,1.14,9,UPI Fraud,0
67,50000.0,1,0.3,9,Card Fraud,0
67,300000.0,3,0.37,11,Investment Scam,1
33,2000000.0,2,0.63,10,Investment Scam,1
17,48000.0,2,0.98,12,UPI Fraud,1
58,15000.0,1,1.58,11,UPI Fraud,0
20,40000.0,2,2.1,10,Card Fraud,0
30,20000.0,2,0.43,12,Phishing,1
64,2000000.0,2,0.26,12,Investment Scam,1
26,600000.0,4,0.24,9,Investment Scam,1
11,120000.0,2,2.96,6,UPI Fraud,1
14,120000.0,2,2.55,8,UPI Fraud,1
40,600000.0,4,1.59,10,Investment Scam,0
5,8000.0,2,0.58,10,UPI Fraud,1
10,8000.0,2,0.82,9,UPI Fraud,1
24,150000.0,2,1.57,6,Investment Scam,0
38,50000.0,3,0.48,10,Job Scam,1
13,48000.0,2,3.01,11,UPI Fraud,1
131,150000.0,3,2.1,8,Investment Scam,0
40,100000.0,1,0.21,14,Card Fraud,1
126,150000.0,4,1.54,7,Investment Scam,0
13,15000.0,2,1.51,8,UPI Fraud,1
15,120000.0,2,0.81,6,Job Scam,1
83,1200000.0,3,2.44,10,Investment Scam,0
12,250000.0,3,1.62,8,Job Scam,1
38,75000.0,1,2.03,10,Phishing,0
46,850000.0,3,0.2,3,Job Scam,1
56,300000.0,5,0.3,13,Investment Scam,1
28,40000.0,2,0.68,11,Card Fraud,0
33,2000000.0,5,2.7,8,Investment Scam,1
120,250000.0,3,0.89,6,Job Scam,0
146,120000.0,4,0.94,14,Job Scam,0
101,150000.0,3,0.22,4,Phishing,1
4,120000.0,1,1.74,13,UPI Fraud,1
16,250000.0,3,2.31,10,Job Scam,1
12,40000.0,1,0.29,10,Card Fraud,1
15,48000.0,3,0.77,6,UPI Fraud,1
4,25000.0,2,1.4,8,UPI Fraud,1
123,1200000.0,2,1.94,7,Investment Scam,0
19,15000.0,2,1.23,14,UPI Fraud,0
64,25000.0,1,1.54,5,UPI Fraud,0
85,150000.0,3,0.32,11,Investment Scam,1
52,20000.0,1,1.9,11,Phishing,0
48,150000.0,3,0.21,9,Phishing,1
16,45000.0,1,0.17,6,Phishing,1
62,50000.0,1,1.87,7,Card Fraud,0
8,85000.0,2,1.76,13,UPI Fraud,1
67,850000.0,2,0.94,11,Job Scam,0
7,15000.0,3,0.6,11,UPI Fraud,1
43,45000.0,1,1.35,8,Phishing,0
56,300000.0,2,0.89,12,Investment Scam,0
58,10000.0,1,0.89,4,Card Fraud,0
99,2000000.0,5,4.02,12,Investment Scam,0
4,85000.0,2,1.11,8,UPI Fraud,1
12,500000.0,2,0.76,12,Job Scam,1
21,150000.0,2,2.94,9,Phishing,0
25,40000.0,1,0.62,12,Card Fraud,0
9,45000.0,1,0.24,14,Phishing,1
35,8000.0,2,0.23,4,UPI Fraud,1
41,50000.0,2,0.45,15,Card Fraud,1
10,75000.0,2,0.18,11,Phishing,1
82,15000.0,2,1.65,16,UPI Fraud,0
7,48000.0,2,0.18,10,UPI Fraud,1
25,100000.0,2,1.65,14,Card Fraud,0
7,8000.0,2,0.56,8,UPI Fraud,1
23,100000.0,1,0.43,12,Card Fraud,1
70,20000.0,2,0.29,9,Card Fraud,0
27,120000.0,1,1.24,7,UPI Fraud,0
44,45000.0,1,1.5,12,Phishing,0
44,20000.0,1,1.33,14,Phishing,0
138,1200000.0,3,1.69,6,Investment Scam,0
50,48000.0,1,0.49,7,UPI Fraud,0
70,15000.0,3,0.73,10,UPI Fraud,0
44,1200000.0,3,2.86,12,Investment Scam,0
3,50000.0,1,0.78,5,Card Fraud,1
49,100000.0,1,0.24,9,Card Fraud,1
10,20000.0,2,2.02,12,Card Fraud,1
87,150000.0,3,0.89,6,Investment Scam,0
13,100000.0,2,1.73,4,Card Fraud,1
24,120000.0,3,1.2,5,Job Scam,1
34,25000.0,2,0.79,11,UPI Fraud,0
13,15000.0,2,0.3,19,UPI Fraud,1
20,85000.0,1,2.47,7,UPI Fraud,0
49,150000.0,4,2.41,9,Investment Scam,0
76,1200000.0,3,1.69,6,Investment Scam,0
108,150000.0,3,0.82,7,Investment Scam,0
27,48000.0,2,0.36,12,UPI Fraud,1
67,45000.0,3,1.0,9,Phishing,0
57,50000.0,3,2.25,12,Job Scam,0
17,120000.0,1,2.69,12,UPI Fraud,0
10,150000.0,2,2.95,7,Phishing,1
112,850000.0,3,1.15,7,Job Scam,0
77,600000.0,5,0.79,10,Investment Scam,1
25,25000.0,2,0.85,12,UPI Fraud,0
117,45000.0,1,0.35,8,Phishing,0
76,600000.0,3,0.88,13,Investment Scam,0
58,48000.0,3,2.72,9,UPI Fraud,0
55,50000.0,3,2.41,7,Job Scam,0
5,48000.0,1,0.92,7,UPI Fraud,1
7,25000.0,2,0.58,5,UPI Fraud,1
40,15000.0,2,2.55,6,UPI Fraud,0
29,45000.0,1,0.15,10,Phishing,1
61,120000.0,3,1.08,14,Job Scam,0
28,2000000.0,4,2.19,13,Investment Scam,1
45,100000.0,1,1.13,10,Card Fraud,0
20,48000.0,1,0.52,5,UPI Fraud,0
10,10000.0,1,0.47,14,Card Fraud,1
58,600000.0,2,0.42,7,Investment Scam,0
25,45000.0,3,2.06,11,Phishing,0
39,20000.0,1,1.51,6,Phishing,0
36,600000.0,3,0.63,7,Investment Scam,1
29,45000.0,1,0.55,8,Phishing,0
8,20000.0,2,1.08,9,Card Fraud,1
21,120000.0,4,1.4,8,Job Scam,1
136,300000.0,4,3.03,8,Investment Scam,0
65,2000000.0,3,0.58,12,Investment Scam,1
34,50000.0,4,0.25,5,Job Scam,1
15,75000.0,2,1.76,5,Phishing,1
65,120000.0,2,2.04,4,UPI Fraud,0
20,120000.0,1,1.29,10,UPI Fraud,0
17,120000.0,3,1.15,7,UPI Fraud,1
10,75000.0,2,0.19,9,Phishing,1
91,150000.0,2,1.4,11,Phishing,0
9,120000.0,1,0.35,8,UPI Fraud,1
23,500000.0,4,1.36,15,Job Scam,1
59,150000.0,3,1.17,3,Investment Scam,0
163,500000.0,2,0.43,12,Job Scam,0
5,85000.0,1,0.59,8,UPI Fraud,1
4,120000.0,1,0.64,7,UPI Fraud,1
61,25000.0,1,1.17,3,UPI Fraud,0
41,300000.0,3,0.76,9,Investment Scam,1
118,2000000.0,3,0.51,3,Investment Scam,0
18,75000.0,1,1.83,7,Phishing,0
105,1200000.0,3,1.74,8,Investment Scam,0
31,500000.0,4,0.57,10,Job Scam,1
17,45000.0,1,0.86,11,Phishing,0
28,150000.0,1,3.42,7,Phishing,0
27,500000.0,3,2.03,6,Job Scam,0
52,120000.0,2,1.53,10,UPI Fraud,0
24,48000.0,2,0.29,6,UPI Fraud,1
130,1200000.0,4,1.49,9,Investment Scam,0
35,20000.0,2,0.78,11,Card Fraud,0
9,48000.0,2,0.31,8,UPI Fraud,1
15,100000.0,1,0.77,3,Card Fraud,1
46,600000.0,2,0.27,13,Investment Scam,1
245,600000.0,3,2.63,11,Investment Scam,0
43,20000.0,1,2.11,10,Phishing,0
30,75000.0,2,1.21,5,Phishing,0
26,25000.0,3,1.04,9,UPI Fraud,0
267,500000.0,3,1.13,4,Job Scam,0
92,150000.0,5,1.34,11,Investment Scam,0
5,48000.0,3,0.87,9,UPI Fraud,1
189,150000.0,5,0.35,9,Investment Scam,1
21,120000.0,2,0.27,7,UPI Fraud,1
69,600000.0,3,1.24,10,Investment Scam,0
17,120000.0,4,0.62,8,Job Scam,1
77,150000.0,4,0.17,5,Investment Scam,1
8,15000.0,2,0.44,14,UPI Fraud,1
15,75000.0,2,0.18,9,Phishing,1
36,600000.0,2,0.76,7,Investment Scam,0
33,150000.0,1,0.51,16,Phishing,1
29,85000.0,3,0.33,3,UPI Fraud,1
38,75000.0,2,0.79,8,Phishing,0
6,50000.0,1,2.07,12,Card Fraud,1
15,120000.0,1,2.08,10,UPI Fraud,1
12,50000.0,2,0.32,11,Card Fraud,1
10,40000.0,1,0.49,7,Card Fraud,1
30,25000.0,2,1.16,10,UPI Fraud,0
9,100000.0,1,0.28,4,Card Fraud,1
6,25000.0,3,0.41,11,UPI Fraud,1
10,15000.0,2,1.23,8,UPI Fraud,1
24,48000.0,2,1.48,12,UPI Fraud,0
23,150000.0,2,0.15,6,Investment Scam,1
23,50000.0,1,4.65,13,Card Fraud,0
16,120000.0,2,1.36,9,UPI Fraud,1
38,45000.0,1,0.23,10,Phishing,1
95,20000.0,1,0.22,6,Phishing,0
4,40000.0,2,3.65,9,Card Fraud,1
58,1200000.0,2,2.21,15,Investment Scam,0
24,120000.0,3,0.21,10,UPI Fraud,1
69,50000.0,1,0.38,5,Card Fraud,0
18,85000.0,2,1.24,11,UPI Fraud,1
171,20000.0,1,0.15,13,Phishing,0
42,2000000.0,3,0.71,6,Investment Scam,0
4,85000.0,1,0.87,8,UPI Fraud,1
43,300000.0,3,5.96,5,Investment Scam,0
41,48000.0,3,0.15,5,UPI Fraud,1
15,120000.0,2,4.7,14,UPI Fraud,1
22,2000000.0,3,0.25,10,Investment Scam,1
21,500000.0,2,0.72,10,Job Scam,1
4,20000.0,1,0.4,13,Card Fraud,1
29,40000.0,1,0.34,10,Card Fraud,0
58,45000.0,1,0.82,14,Phishing,0
4,20000.0,1,0.22,6,Card Fraud,1
12,50000.0,2,2.16,8,Job Scam,1
98,1200000.0,5,0.63,10,Investment Scam,1
170,150000.0,4,0.51,15,Investment Scam,1
34,8000.0,1,0.77,11,UPI Fraud,0
79,85000.0,2,1.29,10,UPI Fraud,0
12,8000.0,3,1.11,11,UPI Fraud,1
41,120000.0,2,0.41,11,UPI Fraud,1
11,15000.0,1,0.62,11,UPI Fraud,1
20,48000.0,1,0.38,9,UPI Fraud,1
10,15000.0,2,0.64,8,UPI Fraud,1
20,75000.0,3,0.74,7,Phishing,1
9,75000.0,1,4.46,7,Phishing,1
8,120000.0,3,0.72,11,UPI Fraud,1
67,20000.0,2,0.63,10,Phishing,0
26,75000.0,1,0.52,5,Phishing,1
5,25000.0,2,2.44,6,UPI Fraud,1
29,15000.0,3,0.66,7,UPI Fraud,0
45,48000.0,2,0.58,6,UPI Fraud,0
5,40000.0,2,0.43,8,Card Fraud,1
19,85000.0,3,0.74,15,UPI Fraud,1
14,25000.0,1,3.86,11,UPI Fraud,0
28,75000.0,2,1.78,5,Phishing,0
5,25000.0,2,1.5,4,UPI Fraud,1
16,20000.0,2,1.45,12,Phishing,1
65,120000.0,4,0.94,7,Job Scam,0
44,50000.0,3,2.49,7,Job Scam,0
65,85000.0,1,0.88,7,UPI Fraud,0
57,850000.0,2,0.21,6,Job Scam,1
24,120000.0,2,1.07,14,UPI Fraud,1
15,8000.0,2,2.21,6,UPI Fraud,0
58,600000.0,3,0.66,12,Investment Scam,1
207,150000.0,4,0.27,4,Investment Scam,1
6,85000.0,2,5.71,11,UPI Fraud,1
36,150000.0,4,0.47,6,Investment Scam,1
69,45000.0,3,1.2,10,Phishing,0
164,50000.0,4,0.36,5,Job Scam,1
34,48000.0,3,1.64,8,UPI Fraud,0
48,300000.0,2,1.24,7,Investment Scam,0
15,500000.0,3,0.45,7,Job Scam,1
5,50000.0,2,0.8,8,Card Fraud,1
14,20000.0,1,1.6,7,Phishing,0
26,50000.0,2,0.21,7,Card Fraud,1
20,120000.0,3,1.16,6,UPI Fraud,1
10,20000.0,1,1.12,9,Card Fraud,1
29,10000.0,1,1.05,6,Card Fraud,0
55,20000.0,1,1.21,11,Phishing,0
44,40000.0,1,3.59,11,Card Fraud,0
30,25000.0,1,0.78,6,UPI Fraud,0
36,25000.0,2,0.2,10,UPI Fraud,1
83,8000.0,3,1.45,8,UPI Fraud,0
31,85000.0,2,0.89,9,UPI Fraud,0
57,85000.0,2,0.21,8,UPI Fraud,1
5,8000.0,3,0.17,7,UPI Fraud,1
78,1200000.0,4,1.54,10,Investment Scam,0
19,20000.0,2,1.61,8,Phishing,0
13,45000.0,2,0.44,6,Phishing,1
34,25000.0,1,0.35,11,UPI Fraud,0
25,120000.0,2,3.68,8,Job Scam,0
44,150000.0,3,1.01,8,Investment Scam,0
14,15000.0,2,1.53,10,UPI Fraud,1
202,120000.0,2,2.07,12,Job Scam,0
37,1200000.0,4,0.53,3,Investment Scam,1
88,1200000.0,4,0.34,6,Investment Scam,1
26,120000.0,2,2.11,8,Job Scam,0
33,25000.0,1,0.53,10,UPI Fraud,0
5,48000.0,2,0.49,8,UPI Fraud,1
18,75000.0,2,2.18,10,Phishing,1
36,300000.0,3,0.38,11,Investment Scam,1
7,100000.0,1,1.67,10,Card Fraud,1
86,150000.0,3,0.42,14,Investment Scam,1
30,120000.0,3,1.35,8,Job Scam,0
50,40000.0,2,0.31,10,Card Fraud,0
67,50000.0,1,2.83,8,Card Fraud,0
15,15000.0,3,0.7,10,UPI Fraud,1
26,15000.0,2,1.91,15,UPI Fraud,0
14,50000.0,3,4.17,7,Job Scam,1
24,15000.0,1,1.09,9,UPI Fraud,0
76,150000.0,2,1.39,7,Investment Scam,0
140,300000.0,4,2.17,2,Investment Scam,0
124,500000.0,2,1.68,9,Job Scam,0
74,1200000.0,3,0.87,7,Investment Scam,0
20,120000.0,3,0.97,12,UPI Fraud,1
69,25000.0,2,0.37,8,UPI Fraud,0
8,120000.0,2,1.86,7,UPI Fraud,1
23,300000.0,4,1.53,7,Investment Scam,1
6,120000.0,2,0.62,5,UPI Fraud,1
65,2000000.0,2,0.73,11,Investment Scam,0
44,45000.0,2,2.09,11,Phishing,0
5,48000.0,2,0.42,9,UPI Fraud,1
22,85000.0,1,0.22,8,UPI Fraud,1
15,75000.0,1,0.74,3,Phishing,1
6,120000.0,2,3.48,7,UPI Fraud,1
59,250000.0,3,3.29,11,Job Scam,0
37,48000.0,3,0.72,5,UPI Fraud,0
3,50000.0,1,0.72,14,Card Fraud,1
6,40000.0,1,0.76,12,Card Fraud,1
26,120000.0,2,1.46,13,UPI Fraud,0
20,15000.0,2,0.33,11,UPI Fraud,1
48,2000000.0,3,0.7,11,Investment Scam,1
29,20000.0,1,0.82,10,Phishing,0
15,120000.0,2,0.55,10,UPI Fraud,1
3,20000.0,1,0.86,12,Card Fraud,1
55,250000.0,3,1.67,9,Job Scam,0
25,120000.0,3,1.41,15,Job Scam,1
9,50000.0,1,0.67,10,Card Fraud,1
16,120000.0,2,0.74,9,UPI Fraud,1
105,250000.0,3,0.42,7,Job Scam,0
19,120000.0,2,0.77,7,UPI Fraud,1
4,40000.0,2,1.7,14,Card Fraud,1
18,25000.0,2,1.66,7,UPI Fraud,0
37,120000.0,2,5.07,8,UPI Fraud,0
21,600000.0,3,0.47,8,Investment Scam,1
13,250000.0,2,0.68,8,Job Scam,1
78,150000.0,3,0.64,11,Investment Scam,0
21,120000.0,2,3.88,8,UPI Fraud,0
17,50000.0,1,0.37,14,Card Fraud,1
13,120000.0,2,0.73,12,UPI Fraud,1
20,48000.0,2,2.59,5,UPI Fraud,0
19,25000.0,2,1.04,13,UPI Fraud,0
19,100000.0,1,0.87,13,Card Fraud,1
15,15000.0,1,0.23,11,UPI Fraud,1
69,75000.0,1,0.32,10,Phishing,0
13,25000.0,1,2.08,10,UPI Fraud,0
9,120000.0,2,2.19,11,UPI Fraud,1
11,8000.0,3,2.79,5,UPI Fraud,1
58,1200000.0,3,3.4,4,Investment Scam,0
65,8000.0,2,2.02,13,UPI Fraud,0
58,8000.0,2,0.54,9,UPI Fraud,0
80,1200000.0,3,0.56,13,Investment Scam,1
41,150000.0,2,1.55,6,Investment Scam,0
21,20000.0,2,2.08,6,Phishing,0
58,2000000.0,2,1.07,12,Investment Scam,0
49,1200000.0,5,2.96,7,Investment Scam,0
56,25000.0,3,0.6,12,UPI Fraud,0
49,15000.0,1,0.42,8,UPI Fraud,0
18,120000.0,1,1.91,9,UPI Fraud,0
14,40000.0,1,2.31,12,Card Fraud,0
39,8000.0,2,0.8,10,UPI Fraud,0
22,48000.0,2,1.43,8,UPI Fraud,0
22,15000.0,2,0.6,9,UPI Fraud,0
58,1200000.0,2,2.2,13,Investment Scam,0
6,10000.0,1,0.84,11,Card Fraud,1
4,48000.0,3,0.66,12,UPI Fraud,1
43,48000.0,2,0.49,4,UPI Fraud,0
55,25000.0,2,1.8,11,UPI Fraud,0
34,150000.0,3,3.14,8,Phishing,0
54,45000.0,1,0.95,14,Phishing,0
9,45000.0,1,3.25,4,Phishing,1
23,150000.0,3,1.76,8,Investment Scam,1
6,48000.0,2,0.87,10,UPI Fraud,1
18,8000.0,1,2.71,12,UPI Fraud,0
41,20000.0,1,1.89,8,Card Fraud,0
21,50000.0,2,3.65,10,Job Scam,0
111,250000.0,3,0.89,10,Job Scam,0
18,48000.0,2,2.13,9,UPI Fraud,0
14,40000.0,1,0.72,12,Card Fraud,1
20,120000.0,3,0.57,11,UPI Fraud,1
4,8000.0,3,0.84,10,UPI Fraud,1
32,50000.0,3,2.59,8,Job Scam,0
30,1200000.0,4,3.1,5,Investment Scam,0
55,600000.0,3,2.19,6,Investment Scam,0
18,120000.0,2,0.19,7,Job Scam,1
45,50000.0,3,1.09,7,Job Scam,0
19,500000.0,3,4.22,9,Job Scam,1
16,8000.0,2,0.69,7,UPI Fraud,1
24,40000.0,1,0.44,9,Card Fraud,0
27,25000.0,3,0.76,9,UPI Fraud,0
17,20000.0,1,1.51,9,Card Fraud,0
63,600000.0,4,1.35,5,Investment Scam,0
10,20000.0,2,1.96,8,Phishing,1
23,120000.0,2,0.23,8,UPI Fraud,1
28,15000.0,2,0.24,8,UPI Fraud,1
25,85000.0,1,1.42,8,UPI Fraud,0
33,10000.0,2,0.43,5,Card Fraud,0
20,75000.0,2,1.87,8,Phishing,0
157,250000.0,4,2.39,11,Job Scam,0
44,150000.0,2,0.17,12,Phishing,1
13,120000.0,2,0.44,14,UPI Fraud,1
18,15000.0,2,2.21,8,UPI Fraud,0
34,150000.0,2,0.82,6,Phishing,0
42,85000.0,2,0.41,6,UPI Fraud,1
93,600000.0,3,0.98,9,Investment Scam,0
11,85000.0,3,3.18,5,UPI Fraud,1
20,1200000.0,3,1.65,5,Investment Scam,1
23,20000.0,2,1.27,11,Card Fraud,0
42,300000.0,4,2.41,10,Investment Scam,0
158,850000.0,4,1.15,13,Job Scam,0
25,25000.0,1,0.87,8,UPI Fraud,0
7,120000.0,2,2.15,9,UPI Fraud,1
8,20000.0,2,2.61,10,Phishing,1
45,250000.0,3,1.76,10,Job Scam,0
36,50000.0,1,1.64,6,Card Fraud,0
3,10000.0,1,0.7,10,Card Fraud,1
160,600000.0,4,0.9,12,Investment Scam,0
294,300000.0,3,0.38,9,Investment Scam,0
112,500000.0,2,0.25,19,Job Scam,1
26,120000.0,2,2.45,11,UPI Fraud,0
39,85000.0,3,0.6,5,UPI Fraud,1
5,48000.0,2,0.89,12,UPI Fraud,1
11,50000.0,1,0.43,10,Card Fraud,1
77,600000.0,4,0.19,11,Investment Scam,1
4,48000.0,2,0.71,10,UPI Fraud,1
7,10000.0,1,0.22,9,Card Fraud,1
32,50000.0,2,0.94,10,Card Fraud,0
40,48000.0,2,2.7,3,UPI Fraud,0
29,85000.0,1,0.79,11,UPI Fraud,0
20,45000.0,2,0.29,11,Phishing,1
20,75000.0,1,1.26,6,Phishing,0
42,1200000.0,5,2.89,6,Investment Scam,0
4,15000.0,2,0.35,14,UPI Fraud,1
11,15000.0,2,4.05,9,UPI Fraud,1
41,15000.0,2,0.2,14,UPI Fraud,1
34,100000.0,2,2.22,10,Card Fraud,0
54,20000.0,2,0.87,5,Card Fraud,0
74,48000.0,2,1.93,9,UPI Fraud,0
9,8000.0,1,0.48,8,UPI Fraud,1
32,500000.0,2,0.28,13,Job Scam,1
18,40000.0,2,1.88,10,Card Fraud,0
10,20000.0,2,0.48,7,Card Fraud,1
63,85000.0,1,1.03,12,UPI Fraud,0
45,45000.0,1,3.2,10,Phishing,0
217,300000.0,3,1.69,6,Investment Scam,0
14,75000.0,1,1.37,5,Phishing,1
5,85000.0,2,5.8,5,UPI Fraud,1
11,45000.0,1,0.61,9,Phishing,1
5,15000.0,3,2.15,13,UPI Fraud,1
23,25000.0,1,1.22,10,UPI Fraud,0
87,300000.0,3,0.64,11,Investment Scam,0
54,850000.0,2,0.39,5,Job Scam,0
43,45000.0,2,0.97,5,Phishing,0
13,150000.0,3,2.63,5,Phishing,1
65,20000.0,2,0.27,9,Card Fraud,0
23,120000.0,1,0.64,7,UPI Fraud,1
102,1200000.0,2,0.28,10,Investment Scam,1
5,20000.0,2,0.89,12,Card Fraud,1
61,75000.0,2,0.96,10,Phishing,0
83,150000.0,4,1.31,7,Investment Scam,0
22,25000.0,2,0.37,9,UPI Fraud,1
68,50000.0,2,1.18,11,Job Scam,0
20,48000.0,3,0.67,7,UPI Fraud,1
9,120000.0,1,0.59,6,UPI Fraud,1
215,2000000.0,3,0.18,10,Investment Scam,1
87,150000.0,4,0.85,13,Investment Scam,0
4,8000.0,1,0.22,9,UPI Fraud,1
9,40000.0,2,0.27,10,Card Fraud,1
12,48000.0,2,1.28,12,UPI Fraud,1
14,40000.0,1,2.4,6,Card Fraud,0
88,150000.0,5,0.17,15,Investment Scam,1
